Scan.Type,Scan.Date,Scan Entered into CME,Latitude,Longitude,Run.No.
Out for Delivery,9/05/2019 6:41,9/05/2019 6:42,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:44,9/05/2019 6:45,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:44,9/05/2019 6:45,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:45,9/05/2019 6:46,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:46,9/05/2019 6:48,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:47,9/05/2019 6:48,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:47,9/05/2019 6:48,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:47,9/05/2019 6:48,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:48,9/05/2019 6:48,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:48,9/05/2019 6:49,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:49,9/05/2019 6:49,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:49,9/05/2019 6:49,-41.2583585,174.7876374,WCP306  
In Depot,9/05/2019 6:54,9/05/2019 6:54,-41.2583585,174.7876374,WCP306  
In Depot,9/05/2019 6:54,9/05/2019 6:54,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:55,9/05/2019 6:56,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:55,9/05/2019 6:56,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:56,9/05/2019 6:56,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:56,9/05/2019 6:56,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:56,9/05/2019 6:57,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:57,9/05/2019 6:57,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:57,9/05/2019 6:57,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:57,9/05/2019 6:57,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:57,9/05/2019 6:57,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:59,9/05/2019 7:00,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:59,9/05/2019 7:00,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 6:59,9/05/2019 7:00,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:06,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:07,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:07,9/05/2019 7:07,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:07,9/05/2019 7:08,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:08,9/05/2019 7:08,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:08,9/05/2019 7:08,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:08,9/05/2019 7:08,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:08,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:09,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:10,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:10,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:10,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:10,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:11,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:11,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:11,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:11,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:11,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:11,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:11,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:13,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:13,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:13,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:14,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:14,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:14,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:14,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:15,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:16,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:16,9/05/2019 7:17,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:16,9/05/2019 7:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:16,9/05/2019 7:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:17,9/05/2019 7:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:17,9/05/2019 7:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:17,9/05/2019 7:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:17,9/05/2019 7:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:17,9/05/2019 7:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:17,9/05/2019 7:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:17,9/05/2019 7:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:17,9/05/2019 7:18,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:18,9/05/2019 7:19,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:18,9/05/2019 7:19,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:18,9/05/2019 7:19,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:18,9/05/2019 7:19,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:18,9/05/2019 7:19,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:18,9/05/2019 7:19,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:18,9/05/2019 7:19,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:18,9/05/2019 7:19,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:19,9/05/2019 7:19,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:20,9/05/2019 7:21,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:20,9/05/2019 7:21,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:20,9/05/2019 7:21,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:20,9/05/2019 7:21,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:20,9/05/2019 7:21,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:20,9/05/2019 7:21,-41.2583585,174.7876374,WCP306  
Out for Delivery,9/05/2019 7:20,9/05/2019 7:21,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:18,9/05/2019 8:19,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:18,10/05/2019 2:02,,,WCP306  
Delivery,9/05/2019 8:18,9/05/2019 8:19,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:21,9/05/2019 8:21,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:23,9/05/2019 8:23,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:24,9/05/2019 8:24,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:24,9/05/2019 8:24,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:26,9/05/2019 8:26,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:27,9/05/2019 8:28,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:30,9/05/2019 8:31,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:30,9/05/2019 8:31,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:30,10/05/2019 2:08,,,WCP306  
Delivery,9/05/2019 8:30,9/05/2019 8:31,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:33,9/05/2019 8:33,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:34,9/05/2019 8:36,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:36,9/05/2019 8:36,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:37,9/05/2019 8:37,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:42,9/05/2019 8:42,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:42,9/05/2019 8:42,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:44,9/05/2019 8:44,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:49,9/05/2019 8:49,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:49,9/05/2019 8:50,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:51,9/05/2019 8:51,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:52,9/05/2019 8:53,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:53,9/05/2019 8:55,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:55,9/05/2019 8:55,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:57,9/05/2019 8:57,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 8:59,9/05/2019 9:00,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:00,9/05/2019 9:00,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:01,9/05/2019 9:01,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:03,9/05/2019 9:03,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:05,9/05/2019 9:06,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:08,9/05/2019 9:08,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:09,9/05/2019 9:10,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:11,9/05/2019 9:11,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:13,9/05/2019 9:14,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:13,9/05/2019 9:14,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:13,9/05/2019 9:14,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:15,9/05/2019 9:15,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:17,9/05/2019 9:18,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:19,9/05/2019 9:20,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:20,9/05/2019 9:20,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:20,9/05/2019 9:22,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:25,9/05/2019 9:25,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:26,9/05/2019 9:26,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:29,9/05/2019 9:30,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:39,9/05/2019 9:39,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:40,9/05/2019 9:40,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:41,9/05/2019 9:41,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:42,9/05/2019 9:42,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:43,9/05/2019 9:43,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:44,9/05/2019 9:45,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:46,9/05/2019 9:46,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:46,9/05/2019 9:46,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:47,9/05/2019 9:47,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:48,9/05/2019 9:48,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:52,9/05/2019 9:52,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 9:59,9/05/2019 9:59,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:00,9/05/2019 10:01,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:04,9/05/2019 10:04,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:06,9/05/2019 10:06,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:07,9/05/2019 10:08,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:07,9/05/2019 10:08,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:10,9/05/2019 10:10,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:10,9/05/2019 10:10,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:11,9/05/2019 10:12,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:11,9/05/2019 10:12,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:13,9/05/2019 10:13,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:15,9/05/2019 10:15,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 10:17,9/05/2019 10:17,-41.2583585,174.7876374,WCP306  
